p,n,benchid,solverid,result,time,timeout
3,300,1906,32,10,0.39,1200
3,300,1906,33,10,3.61,1200
3,300,1906,34,10,5.6,1200
3,300,1906,36,0,1200,1200
3,300,1906,37,10,37.91,1200
3,300,1906,38,10,2.78,1200
3,300,1906,39,10,4.8,1200
3,300,1906,40,10,155.81,1200
3,300,1906,41,10,0.03,1200
3,300,1906,42,10,0.13,1200
3,300,1907,1,10,1.07,1200
3,300,1907,2,0,1200.91,1200
3,300,1907,3,0,1200.66,1200
3,300,1907,4,10,20.84,1200
3,300,1907,5,10,901.19,1200
3,300,1907,6,10,79.21,1200
3,300,1907,7,10,6.1,1200
3,300,1907,8,10,13.04,1200
3,300,1907,9,10,12.26,1200
3,300,1907,15,10,0.01,1200
3,300,1907,16,0,1197.7,1200
3,300,1907,17,0,1197.55,1200
3,300,1907,18,10,0.02,1200
3,300,1907,19,10,0.02,1200
3,300,1907,20,10,0.02,1200
3,300,1907,21,10,7.44,1200
3,300,1907,22,10,571.37,1200
3,300,1907,24,0,9.93,1200
3,300,1907,25,10,23.8,1200
3,300,1907,26,10,16.55,1200
3,300,1907,27,10,0.11,1200
3,300,1907,28,10,0.08,1200
3,300,1907,31,10,0.17,1200
3,300,1907,32,10,1.81,1200
3,300,1907,33,10,93.53,1200
3,300,1907,34,10,5.26,1200
3,300,1907,36,0,1200,1200
3,300,1907,37,10,267.79,1200
3,300,1907,38,10,53.12,1200
3,300,1907,39,10,0.12,1200
3,300,1907,40,0,1196.87,1200
3,300,1907,41,10,0.62,1200
3,300,1907,42,10,0.01,1200
3,300,1908,1,0,1200,1200
3,300,1908,2,0,1200.02,1200
3,300,1908,3,0,1200.2,1200
3,300,1908,4,0,1200.69,1200
3,300,1908,5,0,1200,1200
3,300,1908,6,20,511.04,1200
3,300,1908,7,20,11.92,1200
3,300,1908,8,20,10.81,1200
3,300,1908,9,20,10.17,1200
3,300,1908,15,0,1200,1200
3,300,1908,16,0,1197.71,1200
3,300,1908,17,0,1182.16,1200
3,300,1908,18,0,1200,1200
3,300,1908,19,0,1200,1200
3,300,1908,20,0,1.62,1200
3,300,1908,21,0,1200,1200
3,300,1908,22,0,1200,1200
3,300,1908,24,0,0,1200
3,300,1908,25,20,136.58,1200
3,300,1908,26,20,27,1200
3,300,1908,27,0,1200,1200
3,300,1908,28,0,1200,1200
3,300,1908,31,0,1200,1200
3,300,1908,32,0,1200,1200
3,300,1908,33,20,241.11,1200
3,300,1908,34,20,29,1200
3,300,1908,36,0,1200,1200
3,300,1908,37,0,1200,1200
3,300,1908,38,20,56.5,1200
3,300,1908,39,0,1200,1200
3,300,1908,40,0,1196.72,1200
3,300,1908,41,20,2.68,1200
3,300,1908,42,0,1200,1200
3,300,1909,1,0,1200,1200
3,300,1909,2,0,1200.38,1200
3,300,1909,3,0,1200.98,1200
3,300,1909,4,0,1200.91,1200
3,300,1909,5,0,1200,1200
3,300,1909,6,20,564.87,1200
3,300,1909,7,20,14.81,1200
3,300,1909,8,20,17.59,1200
3,300,1909,9,20,16.5,1200
3,300,1909,15,0,1200,1200
3,300,1909,16,0,1197.19,1200
3,300,1909,17,0,1197.22,1200
3,300,1909,18,0,1200,1200
3,300,1909,19,0,1200,1200
3,300,1909,20,0,0.97,1200
3,300,1909,21,0,1200,1200
3,300,1909,22,20,951.51,1200
3,300,1909,24,0,9.91,1200
3,300,1909,25,20,149.44,1200
3,300,1909,26,20,32.77,1200
3,300,1909,27,0,1200,1200
3,300,1909,28,0,1200,1200
3,300,1909,31,0,1200,1200
3,300,1909,32,0,1200,1200
3,300,1909,33,20,151.02,1200
3,300,1909,34,20,33.52,1200
3,300,1909,36,0,1200,1200
3,300,1909,37,0,1200,1200
3,300,1909,38,20,62.65,1200
3,300,1909,39,0,1200,1200
3,300,1909,40,0,1196.64,1200
3,300,1909,41,20,2.76,1200
3,300,1909,42,0,1200,1200
3,300,1910,1,0,1200,1200
3,300,1910,2,0,1200.82,1200
3,300,1910,3,0,1200.92,1200
3,300,1910,4,0,1200.92,1200
3,300,1910,5,0,1200,1200
3,300,1910,6,0,1196.56,1200
3,300,1910,7,20,30.57,1200
3,300,1910,8,20,31.86,1200
3,300,1910,9,20,30.04,1200
3,300,1910,15,0,1200,1200
3,300,1910,16,0,1197.55,1200
